Data Size,Existing Word,Random Word
10,302,375
20,294,368
30,277,371
40,296,375
50,299,373
60,289,369
70,275,369
80,282,367
90,283,364
100,284,374
200,593,678
300,604,683
400,586,681
500,577,684
600,593,683
700,598,681
800,600,678
900,588,682
1000,582,687
2000,903,998
3000,900,999
4000,915,998
5000,904,1000
6000,894,998
7000,909,1000
8000,917,1000
9000,910,1000
10000,883,998
20000,1239,1336
30000,1249,1339
40000,1228,1328
50000,1224,1337
60000,1244,1334
70000,1216,1340
80000,1234,1337
90000,1247,1343
100000,1237,1339
