Data Size,Quick Sort,Merge Sort
10,3,5
20,0,6
30,0,7
40,1,10
50,1,25
60,2,12
70,2,15
80,3,17
90,3,20
100,4,25
200,8,61
300,12,91
400,19,115
500,26,155
600,38,176
700,39,250
800,50,257
900,52,279
1000,58,285
2000,124,561
3000,199,933
4000,318,1273
5000,256,1363
6000,486,1457
7000,498,1652
8000,477,2403
9000,656,3268
10000,747,2544
20000,1529,3912
30000,2488,8460
40000,2481,9398
50000,3425,9147
60000,3559,12302
70000,4846,12866
80000,5077,14484
90000,5626,20860
100000,6571,19152
200000,13656,38319
300000,21273,58148
400000,31553,86593
500000,44227,112270
600000,49654,140647
700000,57220,165701
800000,70305,175100
900000,70747,177528
1000000,99283,204368
2000000,186548,462109
3000000,246876,590481
4000000,306988,801916
5000000,381191,960296
